software	version	status	note
FastQC	0.11.5	confirmed	Read-quality assessment
BWA-MEM	0.7.19-r1273	confirmed	Read alignment
Beagle	5.5_27Feb25.75f	confirmed	Genotype refinement and phasing
GMMAT	1.4.1	confirmed	Binary-trait mixed-model GWAS
SAMtools	1.23.1	confirmed	BAM processing and validation
BCFtools	1.23.1	confirmed	VCF processing and validation
GATK	4.6.2.0	confirmed	Duplicate marking, variant calling and filtering
PLINK2	2.0.0a.6.9	confirmed	Genotype conversion, QC and PCA
PLINK 1.9	1.90b7.7	confirmed	BED operations and clumping
GEMMA	0.98.5	confirmed	Kinship and continuous-trait LMM
ADMIXTURE	1.3.0	confirmed	Population-structure analysis
coxmeg	1.1.5	confirmed	Cox mixed-effects GWAS
